artist,nominations,year_with_most_nominations,most_common_category,most_common_award_class
Laudibus,1,2011,Best Choral Performance,track
Laura Claycomb,1,2009,Best Choral Performance,track
Laura Pausini,1,2005,Best Latin Pop Album,album
Laura Story,1,2011,Best Contemporary Christian Music Song,track
Laura Sullivan,1,2013,Best New Age Album,album
Lauren Daigle,1,2018,Best Contemporary Christian Music Album,album
Laurindo Almeida,4,1958,Best Album Cover - Classical,track
Lauryn Hill,5,1998,Album Of The Year,album
Lautaro Greco,1,2019,Best Classical Solo Vocal Album,album
Lawrence Dutton,9,1989,Best Chamber Music Performance,track
Le'Andria Johnson,1,2011,Best Gospel/Contemporary Christian Music Performance,track
LeAnn Rimes,3,1996,Best Country Song,track
LeVar Burton,1,1999,Best Spoken Word Album,album
Lea Michele,1,2007,Best Musical Show Album,album
Lecrae,1,2012,Best Gospel Album,album
Led Zeppelin,1,2013,Best Rock Album,album
Lee Ann Womack,2,2000,Best Country Collaboration With Vocals,other
Lee Greenwood,1,1983,"Best Country Vocal Performance, Male",track
Lee Ritenour,1,1985,Best Arrangement On An Instrumental,other
Lee Scratch Perry,1,2002,Best Reggae Album,album
Len Cariou,2,1979,Best Cast Show Album,album
Lena Horne,4,1981,Best Album Cover - Other Than Classical,album
Lenny Kravitz,4,1998,Best Male Rock Vocal Performance,track
Leo Bud Welch,1,2019,"Producer Of The Year, Non-Classical",other
Leo Sayer,1,1977,Best Rhythm & Blues Song,track
Leon Bridges,1,2018,Best Traditional R&B Performance,track
Leon Russell,2,1972,Album Of The Year,album
Leonard Bernstein,6,1961,Best Recording For Children,track
Leonard Cohen,1,2017,Best Rock Performance,track
Leonard Slatkin,3,1984,Best Classical Engineered Recording,track
Leonard Stone,1,1959,Best Broadway Show Album,album
Les Crane,1,1971,Best Spoken Word Recording,track
Les Paul,3,2005,Best Country Instrumental Performance,track
Lester Young,1,1978,Best Historical Repackage Album,album
Lettuce,1,2019,Best Contemporary Instrumental Album,album
Levon Helm,3,2007,Best Americana Album,album
Lewis Black,2,2006,Best Comedy Album,album
Lewis Capaldi,1,2019,Song Of The Year,track
Lewis Nash,1,2004,"Best Jazz Instrumental Album, Individual or Group",album
Lil Baby,1,2019,Best Rap/Sung Performance,track
Lil Jon,1,2004,Best Rap/Sung Collaboration,other
Lil Nas X,6,2019,Album Of The Year,track
Lil Wayne,5,2008,Best Rap Album,track
Lil' Kim,1,2001,Best Pop Collaboration With Vocals,other
Lila Downs,1,2012,Best Regional Mexican Music Album (Including Tejano),album
Lily Tomlin,1,1971,Best Comedy Recording,track
Lin-Manuel Miranda,1,2017,Best Song Written For Visual Media,track
Lin-Manuel Miranda And Others,1,2008,Best Musical Show Album,album
Linda Davis,1,1993,Best Country Vocal Collaboration,other
Linda Hohenfeld,1,2005,Best Choral Performance,track
Linda McCartney,1,1971,Best Arrangement Accompanying Vocalist(s),other
Linda Ronstadt,17,1985,Best Album Package,track
Lindsey Lang,1,2012,Best Choral Performance,track
Linkin Park,2,2001,Best Hard Rock Performance,other
Lionel Richie,3,1984,Album Of The Year,album
Lisa Fischer,2,1991,Best Music Film,other
Lisa Kaplan,3,2007,Best Chamber Music Performance,track
Lisa Loeb,1,2017,Best Children's Album,album
Little Big Town,5,2015,Best Country Duo/Group Performance,track
Little Joe,3,1991,Best Tejano Album,album
Little Joe Y La Familia,1,2005,Best Tejano Album,album
Little Walter,1,2009,Best Historical Album,album
Living Colour,2,1989,Best Hard Rock Performance,track
Lizzo,8,2019,Album Of The Year,track
London Philharmonic,4,1974,Best Opera Recording,track
London Philharmonic Orchestra,2,1976,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),track
London Symphony Choir,2,1963,Best Classical Choral Performance (Other Than Opera),track
London Symphony Chorus,6,1971,"Best Choral Performance, Classical (Other Than Opera)",track
London Symphony Orchestra,17,1971,Best Opera Recording,track
London Symphony Orchestra/Chamber Choir,1,1973,Best Album Package,album
Lonnie Lynn,1,2015,Best Song Written For Visual Media,track
Lorde,2,2013,Best Pop Solo Performance,track
Lorenzo Raval,1,2018,Best Choral Performance,track
Loretta Lynn,4,2004,Best Country Album,track
Los Angeles Guitar Quartet,1,2004,Best Classical Crossover Album,album
Los Angeles Opera Chorus,1,2008,Best Opera Recording,track
Los Angeles Opera Orchestra,1,2008,Best Opera Recording,track
Los Angeles Philharmonic,4,2019,Best Orchestral Performance,track
Los Fabulosos Cadillacs,1,1997,Best Latin Rock/Alternative Performance,track
Los Lobos,3,1983,Best Mexican-American Performance,track
Los Lonely Boys,1,2004,Best Pop Performance By A Duo Or Group With Vocal,track
Los Palominos,1,1999,Best Tejano Performance,track
Los Super Seven,1,1998,Best Mexican-American Music Performance,track
Los Texmaniacs,1,2009,Best Tejano Album,album
Los Tigres Del Norte,7,1987,Best Norteño Album,album
Los Van Van,1,1999,Best Salsa Performance,track
Lost Bayou Ramblers,1,2017,Best Regional Roots Music Album,album
Lotte Lenya,1,1967,Best Score From An Original Cast Show Album,album
Lou Rawls,3,1967,"Best R&B Vocal Performance, Male",track
Lou Reed,1,1998,Best Long Form Music Video,other
Loudon Wainwright III,1,2009,Best Traditional Folk Album,album
Louis Armstrong,5,1964,Best Album Notes,album
Louis C.K.,2,2011,Best Comedy Album,album
Louis Prima,1,1958,Best Performance By A Vocal Group Or Chorus,track
Lucas Meachem,1,2016,"Best Engineered Album, Classical",album
Lucas Richman,1,2010,Best Classical Crossover Album,album
Lucinda Williams,2,1998,Best Contemporary Folk Album,album
Lucky Daye,4,2019,Best R&B Album,track
Lucy Kalantari,1,2018,Best Children's Album,album
Lucy Schaufer,1,2016,"Best Engineered Album, Classical",album
Ludacris,3,2006,Best Rap Album,album
Ludovic Morlot,2,2016,Best Contemporary Classical Composition,album
Ludwig Orchestra,1,2017,Best Classical Solo Vocal Album,album
Luis Enrique,1,2009,Best Tropical Latin Album,album
Luis Enrique + C4 Trio,1,2019,Best Tropical Latin Album,album
Luis Fonsi,1,2019,Best Latin Pop Album,album
Luis Miguel,6,1984,Best Latin Pop Performance,album
Luke Combs,1,2019,Best Country Duo/Group Performance,track
Lupe Fiasco,1,2007,Best Urban/Alternative Performance,track
Lupillo Rivera,1,2009,Best Banda Album,album
Luther Guitar Junior Johnson,1,1984,Best Traditional Blues Recording,track
Luther Vandross,8,2003,Best Male R&B Vocal Performance,track
Lyle Lovett,4,1994,Best Country Album,track
Lynn Anderson,1,1970,"Best Country Vocal Performance, Female",track
M.C. Hammer,3,1990,Best Music Video - Long Form,track
MFSB,1,1974,Best R&B Instrumental Performance,track
MGMT,1,2008,"Best Remixed Recording, Non-Classical",track
Machito,1,1982,Best Latin Recording,track
Macklemore,4,2013,Best New Artist,track
Macy Gray,1,2000,Best Female Pop Vocal Performance,track
Madison Cunningham,1,2019,Best Americana Album,album
Madonna,11,1998,Best Recording Package,track
Maggie Rogers,1,2019,Best New Artist,artist
Magín Díaz,1,2017,Best Recording Package,track
Mahalaxmi Iyer,1,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Mahalia Jackson,3,1961,Best Gospel Or Other Religious Recording,track
Mahler Chamber Orchestra,1,2005,Best Instrumental Soloist(s) Performance (with Orchestra),track
Malcolm-Jamal Warner,1,2014,Best Traditional R&B Performance,track
Maluma,1,2019,Best Latin Pop Album,album
Mamadou Diabate,1,2009,Best Traditional World Music Album,album
Mamas And The Papas,1,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",track
Mandisa,2,2013,Best Contemporary Christian Music Album,album
Mandy Patinkin,1,1984,Best Cast Show Album,album
Mandy Wolman,1,2018,Best Choral Performance,track
Manfred Eicher,1,2001,"Producer Of The Year, Classical",other
Manfred Honeck,3,2019,"Best Engineered Album, Classical",album
Manhattan Opera Chorus,1,1973,Best Opera Recording,track
Manhattan Transfer,1,1980,Best Arrangement For Voices,other
Manhattans,1,1980,Best R&B Performance By A Duo Or Group With Vocal,track
Manuel Galbán,1,2003,Best Pop Instrumental Album,album
Maná,4,1998,"Best Latin Pop, Rock, Or Urban Album",album
Marc Anthony,3,1998,Best Latin Pop Album,album
Marc Aubort,1,1983,Classical Producer Of The Year,other
Marc Cohn,1,1991,Best New Artist,artist
Marcio Doctor,1,2006,Best Large Jazz Ensemble Album,album
Marco Armiliato,1,2009,Best Classical Vocal Performance,track
Marcus Miller,1,2001,Best Contemporary Jazz Album,album
Maren Morris,2,2016,Best Country Duo/Group Performance,track
Margaret Hillis,1,1993,"Best Engineered Recording, Classical",track
Maria Schneider,2,2013,Best Classical Vocal Solo,album
Maria Schneider Orchestra,3,2004,Best Large Jazz Ensemble Album,album
Mariachi Divas,1,2008,Best Regional Mexican Album,album
Mariachi Divas De Cindy Shea,2,2013,Best Regional Mexican Music Album (Including Tejano),album
Mariachi Los Camperos,1,2019,Best Regional Mexican Music Album (Including Tejano),album
Mariachi Los Camperos de Nati Cano,1,2008,Best Regional Mexican Album,album
Mariah Carey,5,2005,Best Contemporary R&B Album,track
Marian Mercer,1,1969,Best Score From An Original Cast Show Album,album
Marie Davidson,1,2019,Best Remixed Recording,track
Marie-Therese Ghirardi,1,2005,Best Small Ensemble Performance (with or without Conductor),track
Marietta Simpson,1,2005,Best Choral Performance,track
Marilyn McCoo,1,1976,"Best R&B Vocal Performance By A Duo, Group Or Chorus",track
Mario Zeffiri,1,2010,Best Choral Performance,track
Mark Guiliana,1,2019,Best Contemporary Instrumental Album,album
Mark Isham,1,1990,Best New Age Performance,track
Mark Knopfler,3,1990,Best Country Instrumental Performance,track
Mark O'Connor,3,1991,Best Bluegrass Album,album
Mark Ronson,5,2015,Best Dance Recording,track
Marlow Rosado Y La Riqueña,1,2012,Best Tropical Latin Album,album
Maroon 5,3,2004,Best New Artist,track
Martha Cluver,1,2013,Best Chamber Music/Small Ensemble Performance,track
Martin Gabel,1,1962,Best Engineering Contribution - Novelty,other
Martin Luther King Jr.,1,1970,Best Spoken Word Recording,track
Marty Robbins,2,1960,Best Country & Western Performance,track
Marty Stuart,5,1992,Best Country Instrumental Performance,track
Marvin Gaye,2,1982,Best R&B Instrumental Performance,track
Marvin Hamlisch,2,1974,Best New Artist Of The Year,artist
Marvin Miller,2,1965,Best Recording For Children,track
Marvin Winans,1,1985,"Best Soul Gospel Performance, Male",track
Mary Chapin Carpenter,6,1993,"Best Country Vocal Performance, Female",track
Mary J. Blige,9,2006,Best Female R&B Vocal Performance,track
Mary Martin And Original Broadway Cast,1,1960,Best Show Album (Original Cast),album
Mary Mary,4,2000,Best Gospel Song,track
Mary Youngblood,2,2002,Best Native American Music Album,album
Maryland Boys Choir,1,1999,Best Choral Performance,track
Mason Proffit,1,1974,Best Album Package,album
Mason Williams,3,1968,"Best Contemporary Pop Performance, Instrumental",other
Mastodon,1,2017,Best Metal Performance,track
Masumi Per Rostad,1,2008,Best Chamber Music Performance,track
Matt Albert,3,2007,Best Chamber Music Performance,track
Matt Cavenaugh,1,2009,Best Musical Show Album,album
Matt Redman,2,2012,Best Contemporary Christian Music Song,track
Matthew Broderick,2,2001,Best Long Form Music Video,album
Matthew Duvall,3,2007,Best Chamber Music Performance,track
Matthew Gladden,1,2012,Best Choral Performance,track
Maurice Jarre,1,1966,Best Original Score Written For A Motion Picture Or Television Show,other
Mavis Staples,2,2010,Best American Roots Performance,album
Max Martin,2,2014,Best Song Written For Visual Media,other
Maxwell,3,2009,Best Male R&B Vocal Performance,track
Maya Angelou,3,1993,Best Spoken Word Or Non-Musical Album,album
McCoy Tyner,2,1988,"Best Jazz Instrumental Album, Individual or Group",album
McCoy Tyner Big Band,2,1992,Best Large Jazz Ensemble Performance,track
McCoy Tyner Trio,1,1995,"Best Jazz Instrumental Performance, Individual Or Group",track
Measha Brueggergosman,1,2005,Best Choral Performance,track
Meat Loaf,1,1993,"Best Rock Vocal Performance, Solo",track
Meduza,1,2019,Best Dance Recording,track
Meek Mill,1,2019,Best Rap Album,album
Megadeth,1,2016,Best Metal Performance,track
Meghan Trainor,1,2015,Best New Artist,artist
Mei-Ann Chen,1,2019,"Producer Of The Year, Classical",other
Mel Brooks,1,1998,Best Spoken Comedy Album,album
Mel Brooks Various Artists Including Nathan Lane,1,2001,Best Long Form Music Video,other
Mel Lewis,1,1978,"Best Jazz Instrumental Performance, Big Band",track
Mel Tormé,3,1982,"Best Jazz Vocal Performance, Male",track
Melanie Fiona,2,2011,Best R&B Song,track
Melba Moore,1,1968,Best Score From An Original Cast Show Album,album
Melinda Dillon,1,1963,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",track
Melissa Etheridge,2,1992,Best Female Rock Vocal Performance,track
Melissa Manchester,1,1982,"Best Pop Vocal Performance, Female",track
Melle Mel,1,1990,Best Rap Performance By A Duo Or Group,track
Men At Work,1,1982,Best New Artist,artist
Mercer Ellington,1,1987,"Best Jazz Instrumental Performance, Big Band",track
Merle Haggard,2,1984,Best Country Collaboration With Vocals,other
Merle Travis,1,1974,Best Country Instrumental Performance,track
Merle Watson,2,1974,Best Country Instrumental Performance,track
Merry Clayton,1,2014,Best Music Film,other
Metallica,9,2008,Best Metal Performance,track
Method Man,1,1995,Best Rap Performance By A Duo Or Group,track
Metropole Orkest,3,2010,"Best Arrangement, Instruments and Vocals",other
Metropole Orkest Conducted By Jules Buckley,1,2019,Best World Music Album,album
Metropolitan Opera Chorus,1,2011,Best Opera Recording,track
Metropolitan Opera Orchestra,8,1983,Best Opera Recording,track
Michael Bolton,2,1989,"Best Pop Vocal Performance, Male",track
Michael Brecker,6,1994,"Best Jazz Instrumental Album, Individual or Group",album
Michael Brecker Quindectet,2,2003,Best Instrumental Arrangement,album
Michael Bublé,5,2007,Best Traditional Pop Vocal Album,album
Michael Cleveland,1,2019,Best Bluegrass Album,album
Michael Doucet,1,2008,Best Zydeco Or Cajun Music Album,album
Michael Esper,1,2010,Best Musical Show Album,album
Michael Fine,1,1992,Classical Producer Of The Year,other
Michael Giacchino,1,2009,Best Instrumental Composition,other
Michael Hedges,1,1997,Best New Age Album,album
Michael Ivins,1,2006,"Best Engineered Album, Non-Classical",album
Michael J. Fox,1,2009,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Michael J. Maccaferri,2,2011,Best Chamber Music/Small Ensemble Performance,track
Michael Jackson,15,1983,Best Engineered Recording - Non-Classical,track
Michael Kamen,4,1991,Best Instrumental Arrangement,track
Michael Maccaferri,1,2007,Best Chamber Music Performance,track
Michael McDonald,1,1984,Best R&B Performance By A Duo Or Group With Vocal,track
Michael McKean,1,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
Michael Nesmith,1,1981,Video Of The Year,other
Michael Stern,1,2010,Best Surround Sound Album,album
Michael Tilson Thomas,2,1999,"Best Engineered Album, Classical",album
Michael W. Smith,3,1984,Best Pop/Contemporary Gospel Album,album
Michel Camilo,1,2003,Best Latin Jazz Album,album
Michel Cerutti,1,2005,Best Small Ensemble Performance (with or without Conductor),track
Michel Legrand,4,1975,Best Instrumental Composition,other
Michelle Branch,1,2002,Best Pop Collaboration With Vocals,other
Michelle Obama,1,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Michelle Pfeiffer,1,1989,Best Instrumental Arrangement Accompanying Vocals,other
Michigan State University Children's Choir,1,2005,Best Choral Performance,track
Mickey,1,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
Mickey Hart,2,1991,Best Contemporary World Music Album,album
Mighty Clouds Of Joy,3,1978,"Best Soul Gospel Performance, Traditional",track
Miguel,1,2012,Best R&B Song,track
Miguel Harth-Bedoya,1,2008,"Best Engineered Album, Classical",album
Miguel Zenón,1,2019,Best Latin Jazz Album,album
Miho Hazama,1,2019,Best Large Jazz Ensemble Album,album
Mike Farris,1,2014,Best Roots Gospel Album,album
Mike Holober,1,2019,Best Large Jazz Ensemble Album,album
Mike Nichols And Elaine May,1,1961,Best Comedy Performance,track
Mike Oldfield,1,1974,Best Instrumental Composition,other
Mike Post,4,1981,Best Instrumental Composition,other
Mikhail Gorbachev,1,2003,Best Spoken Word Album For Children,album
Mild Minds,1,2019,Best Remixed Recording,track
Miles Davis,15,1996,Best Album Notes,track
Miles Davis Quintet,1,1998,Best Album Notes,album
Miley Cyrus,1,2019,Best Remixed Recording,track
Milton Nascimento,1,1997,Best World Music Album,album
Milwaukee Symphony Orchestra,1,2011,"Best Engineered Album, Classical",album
Mingus Big Band,1,2010,Best Large Jazz Ensemble Album,album
Minnesota Orchestra,1,2013,Best Orchestral Performance,track
Miranda Lambert,3,2010,Best Country Album,track
Miriam Makeba,1,1965,Best Folk Recording,track
Missy Elliott,3,2002,Best Female Rap Solo Performance,track
Missy Misdemeanor Elliott,1,2001,Best Rap Solo Performance,track
Missy Raines,1,2019,Best Bluegrass Album,album
Mitch,1,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
Mitch Grassi,2,2014,"Best Arrangement, Instrumental or A Cappella",other
Mitchell Gregg,1,1962,Best Original Cast Show Album,album
Molly Alicia Barth,1,2007,Best Chamber Music Performance,track
Mongo Santamaria,1,1977,Best Latin Recording,track
Monica,1,1998,Best R&B Performance By A Duo Or Group With Vocal,track
Monteverdi Choir,2,1994,Best Choral Performance,track
Morgan Heritage,1,2015,Best Reggae Album,album
Mormon Tabernacle Choir,1,1959,Best Performance By A Vocal Group Or Chorus,track
Motörhead,1,2004,Best Metal Performance,track
Muddy Waters,6,1971,Best Ethnic Or Traditional Recording,track
Mumford,2,2012,Album Of The Year,album
Murphy Lee,1,2003,Best Rap Performance By A Duo Or Group,track
Muse,2,2010,Best Rock Album,album
Music,1,1992,Best Gospel Album By A Choir Or Chorus,album
Mustard,1,2019,Best Rap/Sung Performance,track
Mya,1,2001,Best Pop Collaboration With Vocals,other
Mylon LeFevre,1,1987,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",track
NAO,1,2019,Best Urban Contemporary Album,album
Nanci Griffith,1,1993,Best Contemporary Folk Album,album
Nancy Rumbel,1,2002,Best New Age Album,album
Nancy Wilson,3,1964,Best Jazz Vocal Album,album
Napoleon Murphy Brock,1,2008,Best Rock Instrumental Performance,track
Narada Michael Walden,1,1987,"Producer Of The Year, (Non Classical)",other
Nashville Brass,1,1969,Best Country Instrumental Performance,track
Nashville Symphony,5,2007,Best Classical Instrumental Solo,other
Nashville Symphony Orchestra,1,2010,"Best Engineered Album, Classical",album
Nat King Cole,4,1991,"Best Performance By A ""Top 40"" Artist",track
Nat King Cole Trio,1,1992,Best Historical Album,album
Nat King Cole],1,1991,Song Of The Year,track
Natalia Lafourcade,1,2015,"Best Latin Rock, Urban or Alternative Album",album
Natalie Cole,12,1991,"Best R&B Vocal Performance, Female",track
Natalie Cole [,1,1991,Song Of The Year,track
Natalie Cole [& Nat King Cole],1,1996,Best Instrumental Arrangement With Accompanying Vocal(s),other
Nate Mendel,1,2017,Best Rock Song,track
Nathalie Joachim,1,2019,Best World Music Album,album
Nathan Lane,1,2001,Best Musical Show Album,album
Nathaniel Frey,1,1963,Best Score From An Original Cast Show Album,album
National Opera Orchestra Of Paris,1,1967,Best Opera Recording,track
National Philharmonic Orchestra,1,1983,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),track
Naughty By Nature,1,1995,Best Rap Album,album
Ne-Yo,3,2008,Best Contemporary R&B Album,track
Neal Hefti,1,1966,Best Instrumental Theme,other
Neela Vaswani,1,2014,Best Children's Album,album
Neil Diamond,2,1972,Album Of Best Original Score Written For A Motion Picture Or A Television Special,album
Neil Dorfsman,1,1988,Producer Of The Year (Non-Classical),other
Neil Young,2,2009,Best Boxed Or Special Limited Edition Package,other
Nelly,3,2002,Best Male Rap Solo Performance,track
Nelly Furtado,1,2001,Best Female Pop Vocal Performance,track
Nelson Riddle,1,1958,Best Musical Composition First Recorded And Released In 1958 (Over 5 Minutes Duration),track
Nero,1,2012,"Best Remixed Recording, Non-Classical",track
Netherlands Philharmonic Orchestra,1,2019,Best Opera Recording,track
Neville Brothers,1,1989,Best Pop Instrumental Performance,track
New Breed,2,2006,Best Contemporary Christian Music Song,album
New Broadway Cast,3,2003,Best Musical Show Album,album
New London Children's Choir,1,2007,Best Opera Recording,track
New Orleans Jazz Orchestra,1,2009,Best Large Jazz Ensemble Album,album
New Philharmonia,2,1969,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),track
New Philharmonia Orchestra,3,1968,Best Classical Performance - Orchestra,track
New Vaudeville Band,1,1966,Best Contemporary (R&R) Recording,track
New York City Opera Orchestra,3,1978,Best Opera Recording,track
New York Philharmonic,10,2019,Best Classical Performance - Orchestra,track
NewBreed,1,2015,Best Gospel Album,album
Nicholas Photinos,3,2007,Best Chamber Music Performance,track
Nicholas Tolle,1,2019,Best Classical Solo Vocal Album,album
Nickel Creek,1,2002,Best Contemporary Folk Album,album
Nicola Benedetti,1,2019,Best Contemporary Classical Composition,other
Nidarosdomens Jentekor,1,2019,Best Immersive Audio Album,album
Niels Pedersen,1,1974,Best Jazz Performance By A Group,track
Nikolay Didenko,1,2016,Best Choral Performance,track
Nile Rodgers,2,2013,Best Pop Duo/Group Performance,track
Nine Inch Nails,2,1992,Best Metal Performance,track
Nino Rota,1,1972,Best Original Score Written For A Motion Picture Or A Television Special,other
Nipsey Hussle,3,2019,Best Rap Performance,track
Nirvana,1,1995,Best Alternative Music Performance,track
Nitty Gritty Dirt Band,4,1989,Best Bluegrass Recording,track
Nmon Ford,1,2005,Best Choral Performance,track
No Doubt,4,2002,Best Pop Performance By A Duo Or Group With Vocal,track
Noble Sissle,1,2016,Best Album Notes,album
Noelle Adam,2,1962,Best Original Cast Show Album,album
Norah Jones,10,2002,Best Female Pop Vocal Performance,track
Norman Brown,1,2002,Best Pop Instrumental Album,album
Norman Luboff Choir,1,1960,Best Performance By A Chorus (7 Or More Persons),track
Norman Mackenzie,2,2002,"Best Engineered Album, Classical",album
Northern Cree,1,2019,Best Regional Roots Music Album,album
O'Connor Band,1,2016,Best Bluegrass Album,album
O'Kanes,1,1988,Best Album Package,album
O'Landa Draper,1,1998,Best Gospel Choir Or Chorus Album,album
OK Go,1,2006,Best Short Form Music Video,other
Odile Auboin,1,2005,Best Small Ensemble Performance (with or without Conductor),track
Offset,1,2019,Best Rap Performance,track
Ohio Players,1,1975,Best Album Package,album
Old Crow Medicine Show,2,2012,Best Folk Album,album
Olga Borodina,1,2010,Best Choral Performance,track
Olga Tañón,2,2000,Best Merengue Album,album
Olivia Newton-John,4,1974,"Best Country Vocal Performance, Female",track
Omar Akram,1,2012,Best New Age Album,album
Opium Moon,1,2018,Best New Age Album,album
Orchestra,1,2016,"Best Engineered Album, Classical",album
Orchestra Del Maggio Musicale,1,1990,Best Classical Vocal Performance,track
Orchestra Of St. Luke's,1,1989,Best Classical Vocal Soloist Performance,track
Orchestra Of The Royal Opera House,1,2019,Best Opera Recording,track
Orchestra Sinfonica Di Milano Giuseppi Verdi,1,2009,Best Classical Vocal Performance,track
Orchestra of the Royal Opera House,1,2003,Best Opera Recording,track
Orchestre De L'Opera De Paris,1,1980,Best Opera Recording,track
Orchestre De L'Opera Nationale De Lyon,1,2000,Best Opera Recording,track
Orchestre De L'Opéra National De Lyon,1,2011,Best Classical Vocal Solo,other
Orchestre National De France,2,1984,Best Classical Vocal Solo,other
Orchestre Of Opera De Lyon,1,1994,Best Opera Recording,track
Orchestre Philharmonique De Radio France,1,2012,Best Classical Vocal Solo,other
Orchestre Revolutionnaire Et Romantique,1,1994,Best Choral Performance,track
Orchestre Symphonie De Montréal,1,1999,Best Instrumental Soloist(s) Performance (With Orchestra),track
Oregon Bach Festival Chorus,1,2000,Best Choral Performance,track
Oregon Bach Festival Orchestra,1,2000,Best Choral Performance,track
Original 1986 Cast,1,1986,Best Musical Cast Show Album,album
Original Broadway Cast,21,2019,Best Musical Show Album,album
Original Broadway Cast - Marissa Jaret Winokur,1,2002,Best Musical Show Album,album
Original Broadway Cast Including David Hyde Pierce,1,2005,Best Musical Show Album,album
Original Broadway Cast Recording,3,1998,Best Musical Show Album,album
Original Cast,4,1961,"Best Engineered Recording, Classical",album
Original Cast Including Bernadette Peters,1,1984,Best Cast Show Album,album
Original Cast Recording,1,1993,Best Musical Show Album,album
Orquesta,2,2015,Best Tropical Latin Album,album
Orson Welles,3,1976,Best Spoken Word Recording,track
Oscar Hammerstein II,1,2019,Best Musical Theater Album,album
Oscar Peterson,1,1974,Best Jazz Performance By A Group,track
Oscar Peterson Trio,1,1991,"Best Jazz Instrumental Performance, Group",track
Ossie Davis,1,2006,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Others,11,1984,Best Musical Show Album,album
Otis Redding,4,1968,Best Album Notes,album
Otis Rush,1,1998,Best Traditional Blues Album,album
Oumou Sangare,1,2010,Best Pop Collaboration With Vocals,other
Our Native Daughters,1,2019,Best American Roots Song,track
OutKast,6,2003,Best Rap Album,album
Ozomatli,2,2001,Best Latin Rock/Alternative Album,album
Ozzy Osbourne,1,1993,Best Metal Performance With Vocal,track
P. Diddy,1,2003,Best Rap Performance By A Duo Or Group,track
PJ Morton,4,2019,Best Traditional R&B Performance,track
PRISM Quartet,1,2017,Best Choral Performance,track
PaTRAM Institute Singers,1,2019,Best Choral Performance,track
Paavo Järvi,2,2006,"Best Engineered Album, Classical",album
Pablo Ziegler Trio,1,2017,Best Latin Jazz Album,album
Pacific Boychoir,1,2009,Best Choral Performance,track
Pacific Mambo Orchestra,1,2013,Best Tropical Latin Album,album
Pam Tillis,1,1998,Best Country Collaboration With Vocals,other
Pamela Williamson,1,2012,Best Choral Performance,track
Paquito D'Rivera,1,1996,Best Latin Jazz Performance,track
Paquito D'Rivera And Trio Corrente,1,2013,Best Latin Jazz Album,album
Paquito D'Rivera Quintet?,1,2007,Best Latin Jazz Album,album
Paramore,1,2014,Best Rock Song,track
Partch,1,2014,Best Classical Compendium,other
Pat Benatar,4,1980,"Best Rock Vocal Performance, Female",track
Pat Carroll,1,1980,"Best Spoken Word, Documentary Or Drama",other
Pat Enright The Soggy Bottom Boys,1,2001,Best Country Collaboration With Vocals,other
Pat Ferrier,1,1959,Best Broadway Show Album,album
Pat Metheny,7,1982,"Best Jazz Instrumental Performance, Individual Or Group",track
Pat Metheny Group,10,1998,"Best Jazz Fusion Performance, Vocal Or Instrumental",track
Pat Metheny Unity Band,1,2012,Best Jazz Instrumental Album,album
Pat Smear,2,2013,Best Rock Song,track
Pat Williams,1,1974,Best Instrumental Arrangement,other
Patricia Barber,1,2012,Best Surround Sound Album,album
Patricia Elliott,1,1973,Best Score From The Original Cast Show Album,album
Patricia Racette,1,2016,"Best Engineered Album, Classical",album
Patricia Risley,1,2011,"Best Engineered Album, Classical",album
Patrick Stewart,1,1995,Best Spoken Word Album For Children,album
Patrick Summers,1,2002,Best Classical Vocal Performance,track
Patrick Williams,1,1986,Best Arrangement On An Instrumental,other
Patti Austin,1,2007,Best Jazz Vocal Album,album
Patti LaBelle,2,1991,"Best R&B Vocal Performance, Female",track
Patti Page,1,1998,Best Traditional Pop Vocal Performance,track
Patton Oswalt,1,2016,Best Comedy Album,album
Patty Griffin,2,2010,Best Folk Album,album
Patty Loveless,2,1998,Best Bluegrass Album,album
Paul,1,1971,Best Arrangement Accompanying Vocalist(s),other
Paul And Mary,5,1962,Best Folk Recording,track
Paul Avgerinos,1,2015,Best New Age Album,album
Paul Davidson,1,2015,Best Choral Performance,track
Paul Epworth,2,2011,Best Song Written For Visual Media,other
Paul Horn,2,1965,Best Album Cover - Photography,album
Paul Katz,1,1996,Best Chamber Music Performance,track
Paul McCartney,11,2013,Best Arrangement Accompanying Vocalist(s),track
Paul McCartney And Wings,1,2013,Best Boxed Or Special Limited Edition Package,other
Paul McCoy,1,2003,Best Hard Rock Performance,track
